              Vardas             Pavarde       ND1       ND2       ND3       ND4       ND5      Egz.
           Vardas198          Pavarde198         4         2         9         2         4         2
           Vardas199          Pavarde199         6        10         6         7         1         1
           Vardas200          Pavarde200         9         3         3         2         5         2
           Vardas201          Pavarde201         6         7         7         3         7         8
           Vardas202          Pavarde202         1         3         7         5         6         5
           Vardas203          Pavarde203        10         4         8         4        10         5
           Vardas204          Pavarde204         8         3         9         9         6         3
           Vardas205          Pavarde205         5        10         1         9         4         4
           Vardas206          Pavarde206         4         4         8         9         9         8
           Vardas207          Pavarde207         2         8         5         5         5        10
           Vardas208          Pavarde208         4         7        10         4         1         9
           Vardas209          Pavarde209         2        10         6         4         2         2
           Vardas210          Pavarde210         5         9         5         5         3         5
           Vardas211          Pavarde211         8         4         2         8         9        10
           Vardas212          Pavarde212        10         5         2         5         9         8
           Vardas213          Pavarde213         2         8         9         1         6         6
           Vardas214          Pavarde214         7         2         2         7        10         9
           Vardas215          Pavarde215         9         2         5         2         4         2
           Vardas216          Pavarde216         3         9         1         1         3        10
           Vardas217          Pavarde217         9         6         4         6         7         5
           Vardas218          Pavarde218         8         3         9         7         4         3
           Vardas219          Pavarde219         1         9         8         9         6         4
           Vardas220          Pavarde220         3         4         6         5         3         4
           Vardas221          Pavarde221         2         1         5         2        10         5
           Vardas222          Pavarde222         4         7         6         9         7         9
           Vardas223          Pavarde223        10         6         8        10         8         1
           Vardas224          Pavarde224         8         3         6         5         1         2
           Vardas225          Pavarde225         4         5         5         1         4        10
           Vardas226          Pavarde226         4         1         6         5         9         4
           Vardas227          Pavarde227         1        10         3         4         7         6
           Vardas228          Pavarde228        10         4         3         5         3        10
           Vardas229          Pavarde229         3         3        10         2         1         6
           Vardas230          Pavarde230         6         9        10         8         7         5
           Vardas231          Pavarde231         6         9         9         2         7         8
           Vardas232          Pavarde232         1         2         1        10         6         9
           Vardas233          Pavarde233        10         5         9         1         2        10
           Vardas234          Pavarde234         4         9         2         8         2        10
           Vardas235          Pavarde235         6         3         4         4         8         6
           Vardas236          Pavarde236         4         6         6         4         9         3
           Vardas237          Pavarde237         8         2         7         3        10         5
           Vardas238          Pavarde238         7         5         1        10         8         4
           Vardas239          Pavarde239         5        10         3         7         5         2
           Vardas240          Pavarde240         7         3         6         2         2         4
           Vardas241          Pavarde241         5         3         4         8         8         6
           Vardas242          Pavarde242         8         6         8        10        10         9
           Vardas243          Pavarde243         9         6         7         8         7         5
           Vardas244          Pavarde244        10         2         9         1         5         4
           Vardas245          Pavarde245         9        10         4         7         9         7
           Vardas246          Pavarde246         8         7         8         4         1         9
           Vardas247          Pavarde247         3        10         6         2         6        10
           Vardas248          Pavarde248         9         4         4         3         7         3
           Vardas249          Pavarde249         5         3         9         1         2         8
           Vardas250          Pavarde250         4         2         9         4         9         4
           Vardas251          Pavarde251         6         4         5         4         4         5
           Vardas252          Pavarde252         4         1         2        10         6         9
           Vardas253          Pavarde253         5         8         4         1        10         8
           Vardas254          Pavarde254         9         8         7         4         9         7
           Vardas255          Pavarde255         9         4         3         9        10         6
           Vardas256          Pavarde256         2         8         8         2         5         5
           Vardas257          Pavarde257         9         2         4         6         5         9
           Vardas258          Pavarde258         5         3         8         5         7        10
           Vardas259          Pavarde259         6         8         5         8         8         6
           Vardas260          Pavarde260        10         9         8         4         5        10
           Vardas261          Pavarde261         8         9         9         2         8         4
           Vardas262          Pavarde262         5         5         8         8        10         9
           Vardas263          Pavarde263         3         3         7         2         5         3
           Vardas264          Pavarde264         9         4         9         9         1         5
           Vardas265          Pavarde265        10         2         7         3         3        10
           Vardas266          Pavarde266         5         3         8         2         9         3
           Vardas267          Pavarde267         9         8         5         5         5         7
           Vardas268          Pavarde268        10         8        10         6         8         3
           Vardas269          Pavarde269         2         3         8         3         8         7
           Vardas270          Pavarde270         8         8         2         1         1         5
           Vardas271          Pavarde271         2        10         1         8         3         5
           Vardas272          Pavarde272         3         2         2         7         2         4
           Vardas273          Pavarde273         1        10         2         1        10        10
           Vardas274          Pavarde274         7         1         4         2         6         8
           Vardas275          Pavarde275         9         7         8         7         6         6
           Vardas276          Pavarde276         9        10        10         7         4         4
           Vardas277          Pavarde277         1        10         2        10         9         3
           Vardas278          Pavarde278         2         4         8         7         3         8
           Vardas279          Pavarde279         9         6         3         2         3         8
           Vardas280          Pavarde280         9         9         6         4         8         3
           Vardas281          Pavarde281         1        10         7         4         3         8
           Vardas282          Pavarde282         7         3         6         4        10         9
           Vardas283          Pavarde283         9         3         1         8         1         6
           Vardas284          Pavarde284         4         2         9        10         4        10
           Vardas285          Pavarde285         8         3         3         1         7         5
           Vardas286          Pavarde286         5         1         1         4         9         6
           Vardas287          Pavarde287         8        10         1         7         7         9
           Vardas288          Pavarde288         5         3         1        10         6        10
           Vardas289          Pavarde289         1         9         6         4         6         4
           Vardas290          Pavarde290         2         5         2        10         6         2
           Vardas291          Pavarde291         3        10         9         7         4         5
           Vardas292          Pavarde292         1        10        10        10         5         9
           Vardas293          Pavarde293         1         6         4         3        10         9
           Vardas294          Pavarde294         1         6         9         7         2         8
           Vardas295          Pavarde295         7         8         5         6         4        10
           Vardas296          Pavarde296         1         4         3         4         2         4
           Vardas297          Pavarde297         4         7         8         4         3         3
           Vardas298          Pavarde298         5        10         9         1        10         4
           Vardas299          Pavarde299         7         8         6         1         1         3
           Vardas300          Pavarde300         7        10         9         8         4         8
           Vardas301          Pavarde301         9        10         1         1         5         7
           Vardas302          Pavarde302         5         1         1         2         1         4
           Vardas303          Pavarde303         3         2         3         2         5         5
           Vardas304          Pavarde304         1         5         5         2         5         6
           Vardas305          Pavarde305         3         1         6         2         7         6
           Vardas306          Pavarde306         9         5         5         4         7        10
           Vardas307          Pavarde307         8         9         5         5         4         6
           Vardas308          Pavarde308         1         2         7         9         5         8
           Vardas309          Pavarde309         2         4         4         2         1         2
           Vardas310          Pavarde310         7         6         8         1         3         6
           Vardas311          Pavarde311         3         8         8         6         8         5
           Vardas312          Pavarde312         8         4         3         8         1         6
           Vardas313          Pavarde313         6         9         2         7         7         1
           Vardas314          Pavarde314         1         3         2         7         4         9
           Vardas315          Pavarde315         8         5         8         3         4         4
           Vardas316          Pavarde316         6         3         6         3         3         5
           Vardas317          Pavarde317         3         2         9         3         5         1
           Vardas318          Pavarde318         1         6         9        10         5         9
           Vardas319          Pavarde319         9         4         9         7        10         4
           Vardas320          Pavarde320         8         6         3         5         9        10
           Vardas321          Pavarde321         3         2         4         9         2         7
           Vardas322          Pavarde322         8         8         1         7         1         3
           Vardas323          Pavarde323         4         2         9         9         3         9
           Vardas324          Pavarde324         9         7         3         7        10         2
           Vardas325          Pavarde325        10         3         1         6         7         3
           Vardas326          Pavarde326         2         4         3         6        10         6
           Vardas327          Pavarde327        10         8         9        10         1         7
           Vardas328          Pavarde328         2         3        10         5         7         4
           Vardas329          Pavarde329         7         3         9         4         1         3
           Vardas330          Pavarde330        10         1         9         5        10         5
           Vardas331          Pavarde331         9         3         3         2         1         4
           Vardas332          Pavarde332         9         7         6         4         8         3
           Vardas333          Pavarde333         6         9         1         8         6         1
           Vardas334          Pavarde334         6         7         8        10         6         4
           Vardas335          Pavarde335         3         3         8         6         4         4
           Vardas336          Pavarde336         2         2         8         2         5         7
           Vardas337          Pavarde337        10         6         4         8         7         6
           Vardas338          Pavarde338         1         5         5         3         4         5
           Vardas339          Pavarde339         3         2         2         7         4        10
           Vardas340          Pavarde340         9         7         2        10         3         5
           Vardas341          Pavarde341        10         1         7         2         4         8
           Vardas342          Pavarde342         1         8         1         5         3         5
           Vardas343          Pavarde343         2         7         3         5        10         2
           Vardas344          Pavarde344         7         5         4         7         6         3
           Vardas345          Pavarde345         4         7         1         7         5         3
           Vardas346          Pavarde346         2        10        10         7         4         9
           Vardas347          Pavarde347         4         5         5         4         2         4
           Vardas348          Pavarde348         2         7         9         3         3         3
           Vardas349          Pavarde349         7         3         6         7         6         8
           Vardas350          Pavarde350         9         8         2         1         6         8
           Vardas351          Pavarde351         1         9         2         8         7         9
           Vardas352          Pavarde352         4         8        10         5         8         1
           Vardas353          Pavarde353         1         8         9         2         2         5
           Vardas354          Pavarde354         8         2         8         6         3         3
           Vardas355          Pavarde355         5         8         8         1         1         5
           Vardas356          Pavarde356         8         7        10        10        10         2
           Vardas357          Pavarde357         1        10         1        10         5         1
           Vardas358          Pavarde358         5         2         9         5         4         2
           Vardas359          Pavarde359         4         8         5         6         3         7
           Vardas360          Pavarde360        10         1         1         6         2         8
           Vardas361          Pavarde361         1         1         6         6         4         7
           Vardas362          Pavarde362         3         3         7         8         2        10
           Vardas363          Pavarde363         9         8         2         2         9         3
           Vardas364          Pavarde364         1         8         3         9         2         5
           Vardas365          Pavarde365         7         8         4         1         3         2
           Vardas366          Pavarde366         9         2        10         1         8         4
           Vardas367          Pavarde367         6         2         3         3         5         2
           Vardas368          Pavarde368        10         1         6         9         3         2
           Vardas369          Pavarde369         7         1         1         4         4         4
           Vardas370          Pavarde370         9         8        10         7         9         6
           Vardas371          Pavarde371         5         3         2         1        10         2
           Vardas372          Pavarde372         1        10         2         2         6         8
           Vardas373          Pavarde373         6         7         9         3         8         6
           Vardas374          Pavarde374         2        10         2         5         4         9
           Vardas375          Pavarde375         3         1        10         6         2        10
           Vardas376          Pavarde376         1         8         4         7         1         3
           Vardas377          Pavarde377         6         1         4         8         2         5
           Vardas378          Pavarde378         7         3         4         6         1         8
           Vardas379          Pavarde379         3         2        10         6         1         3
           Vardas380          Pavarde380         1         9         8        10         8         3
           Vardas381          Pavarde381         2        10         8        10        10         4
           Vardas382          Pavarde382        10         6         9         7         6         3
           Vardas383          Pavarde383         4         5         8         6         1         4
           Vardas384          Pavarde384         9         6         6         1         8        10
           Vardas385          Pavarde385        10         4         3        10         7         6
           Vardas386          Pavarde386         4         9         7         9         3         6
           Vardas387          Pavarde387         5         1        10         9        10         7
           Vardas388          Pavarde388         3         8         5         6        10         4
           Vardas389          Pavarde389         3         5         2         6         2         3
           Vardas390          Pavarde390         5        10         8        10         1         3
           Vardas391          Pavarde391         1         3         6        10         1         4
           Vardas392          Pavarde392        10         6         1         9         8         5
           Vardas393          Pavarde393         6         3         6         6         8         5
           Vardas394          Pavarde394         7        10         5        10         8         5
           Vardas395          Pavarde395         1         8         5         4         2         9
           Vardas396          Pavarde396         1         6        10         8         5         8
           Vardas397          Pavarde397         7         7        10         5         5         3
           Vardas398          Pavarde398         4        10         6         1         7         1
           Vardas399          Pavarde399         8         9         8         8         6         9
           Vardas400          Pavarde400         1        10         3         8         4         4
           Vardas401          Pavarde401        10         9        10         4         1         9
           Vardas402          Pavarde402         5         6         9        10         8         9
           Vardas403          Pavarde403         6         5         9         9         9         1
           Vardas404          Pavarde404         9         6         2         8         1         3
           Vardas405          Pavarde405         1         8         8         7        10        10
           Vardas406          Pavarde406         1         9         3         4        10         2
           Vardas407          Pavarde407         4         8         3         7         5         7
           Vardas408          Pavarde408        10         5        10         8         6         6
           Vardas409          Pavarde409         5         5         4         2         5         7
           Vardas410          Pavarde410         6         4         9         5         3         6
           Vardas411          Pavarde411         5         9         5         9         9        10
           Vardas412          Pavarde412         7         8         8         7         6         7
           Vardas413          Pavarde413        10         5         1         8         1         9
           Vardas414          Pavarde414         3         6         4         1         5         2
           Vardas415          Pavarde415         6         3         8         4         2         8
           Vardas416          Pavarde416         3         7         1         4         7         9
           Vardas417          Pavarde417         1         5         8         8         9         9
           Vardas418          Pavarde418         4         9         4        10         4         3
           Vardas419          Pavarde419         3         1         5         5        10         9
           Vardas420          Pavarde420         7         5         8        10         2         5
           Vardas421          Pavarde421         4         7         2         2         9         1
           Vardas422          Pavarde422         7         9         7         7         3         1
           Vardas423          Pavarde423         7         2         1         1         2        10
           Vardas424          Pavarde424        10         7         1         7         6         9
           Vardas425          Pavarde425         5         3         1         6         1         6
           Vardas426          Pavarde426         9         6         2         8        10         9
           Vardas427          Pavarde427         2         9         7         7         7         4
           Vardas428          Pavarde428         8         9         9         7         3         5
           Vardas429          Pavarde429         9         2         4         1         4         5
           Vardas430          Pavarde430         3         1         6         4         7         6
           Vardas431          Pavarde431         5        10         1         5         2         8
           Vardas432          Pavarde432         6        10         5         3         1         6
           Vardas433          Pavarde433         9         5        10        10        10         1
           Vardas434          Pavarde434         2         9         8         5         5         9
           Vardas435          Pavarde435         5         6         8         9         3         5
           Vardas436          Pavarde436         7         7        10         9         1         5
           Vardas437          Pavarde437         4         8         8        10         6         4
           Vardas438          Pavarde438         6         9         5         3        10         8
           Vardas439          Pavarde439         6         4         6         3         9        10
           Vardas440          Pavarde440         3         2         2         7         7         6
           Vardas441          Pavarde441        10        10         6         9         7         1
