              Vardas             Pavarde       ND1       ND2       ND3       ND4       ND5      Egz.
           Vardas127          Pavarde127         1         6        10         4         8         1
           Vardas128          Pavarde128         5         9         8         5         3         2
           Vardas129          Pavarde129         2        10         5         2         7         6
           Vardas130          Pavarde130         5         3         8         4         2         1
           Vardas131          Pavarde131        10         8        10         2         9         1
           Vardas132          Pavarde132         4         3         8         5         7         4
           Vardas133          Pavarde133         7         3         2        10         2         2
           Vardas134          Pavarde134         4        10         1         8         3         9
           Vardas135          Pavarde135         2         3         6         7         5         6
           Vardas136          Pavarde136         3         7         2         2         9         8
           Vardas137          Pavarde137         8        10         2         9         6         9
           Vardas138          Pavarde138         3         8        10         2         6         8
           Vardas139          Pavarde139         2         6         5         4         5         2
           Vardas140          Pavarde140         2         2         2         5         6         4
           Vardas141          Pavarde141         9         6         9         6         7         5
           Vardas142          Pavarde142         6         1         9         1        10         4
           Vardas143          Pavarde143         6         7         6        10         9         6
           Vardas144          Pavarde144         8         4         5         1         7         4
           Vardas145          Pavarde145         1         6         5         9        10         4
           Vardas146          Pavarde146         6         8         7         7        10         6
           Vardas147          Pavarde147         3         6         2         5         6         9
           Vardas148          Pavarde148         4         8         7         7         8         1
           Vardas149          Pavarde149         5         8         3         4         1         1
           Vardas150          Pavarde150         6         4         9         7         2         1
           Vardas151          Pavarde151         9         3         7         6         2        10
           Vardas152          Pavarde152         2         8         4         1         8         8
           Vardas153          Pavarde153         4         1        10         4         6         6
           Vardas154          Pavarde154         3         6         2        10         1         3
           Vardas155          Pavarde155         6         4         3         1         8         7
           Vardas156          Pavarde156         4         5         4         6         8         5
           Vardas157          Pavarde157         6         6         5        10         3         6
           Vardas158          Pavarde158         1         8         7         6        10         1
           Vardas159          Pavarde159         1         2        10         4         8         2
           Vardas160          Pavarde160         8         7         7         9         9         4
           Vardas161          Pavarde161         1        10         1         6         6         7
           Vardas162          Pavarde162         8         5         3         9         6         7
           Vardas163          Pavarde163        10         9         8         7         6         1
           Vardas164          Pavarde164         4         3         5         2         5         7
           Vardas165          Pavarde165         6         9         9        10         2         7
           Vardas166          Pavarde166         7         8        10         8         8         1
           Vardas167          Pavarde167         3         6        10         1        10         2
           Vardas168          Pavarde168         6         8         1        10        10         4
           Vardas169          Pavarde169         7         3         6         9         7        10
           Vardas170          Pavarde170         9         5         3         9         3         3
           Vardas171          Pavarde171         6         4         2         1        10         8
           Vardas172          Pavarde172        10         6         5         4         7         5
           Vardas173          Pavarde173        10         5        10         4        10         8
           Vardas174          Pavarde174         3         8        10        10         3         6
           Vardas175          Pavarde175         8         3        10        10         5         5
           Vardas176          Pavarde176         1         8        10         3        10         7
           Vardas177          Pavarde177         6         7         9         1         4         5
           Vardas178          Pavarde178         6         9         5        10         8         7
           Vardas179          Pavarde179         2        10        10         8         2         7
           Vardas180          Pavarde180         3         6         3         7         1         6
           Vardas181          Pavarde181         4         5         9         3         2         9
           Vardas182          Pavarde182         9         7         9         8         2         5
           Vardas183          Pavarde183         9         5         7        10         8         6
           Vardas184          Pavarde184         4         6         2         4         3         7
           Vardas185          Pavarde185         5         5         8         3         3         3
           Vardas186          Pavarde186         7         2         6         9         8         9
           Vardas187          Pavarde187         5         6         7         9         4         6
           Vardas188          Pavarde188         6         6         8         3         9         5
           Vardas189          Pavarde189         3         9        10         2         7         5
           Vardas190          Pavarde190         2         6         1         3         7         8
           Vardas191          Pavarde191        10         5         7         2         1         3
           Vardas192          Pavarde192         4         8         6         9         3         5
           Vardas193          Pavarde193         8         5         4         5         3         6
           Vardas194          Pavarde194         3         3         1         3         5         2
           Vardas195          Pavarde195         2         2         8        10         7         5
           Vardas196          Pavarde196         3         9         8         4         3         2
           Vardas197          Pavarde197         6         7         1         9         3         8
           Vardas198          Pavarde198         8         7         6         7         1         4
           Vardas199          Pavarde199         2         6        10         4        10         1
           Vardas200          Pavarde200         3         4         3         5         3         9
           Vardas201          Pavarde201         4         5         7         9         2         7
           Vardas202          Pavarde202         3         4         6         7         4         8
           Vardas203          Pavarde203         2         8         9         7         6         4
           Vardas204          Pavarde204         5         9         7         5         7         6
           Vardas205          Pavarde205         5         8         7         3         6        10
           Vardas206          Pavarde206         7         2         6         9         3         8
           Vardas207          Pavarde207         3         5         2         8         1        10
           Vardas208          Pavarde208         3        10         8         8         6         5
           Vardas209          Pavarde209         1         6         5         5         5        10
           Vardas210          Pavarde210         1        10         4         4         5         9
           Vardas211          Pavarde211         2         8         9         2         8         9
           Vardas212          Pavarde212         7         3         4         6         4         1
           Vardas213          Pavarde213        10         3         3         6         6         9
           Vardas214          Pavarde214         5        10         5         6         8        10
           Vardas215          Pavarde215         2         9         1        10         6        10
           Vardas216          Pavarde216         1         6         4         5         5        10
           Vardas217          Pavarde217         5         9         9         8         9         4
           Vardas218          Pavarde218         4         8         6        10         3         1
           Vardas219          Pavarde219         3         5         7         4         6         5
           Vardas220          Pavarde220         8         8         3         2         5         3
           Vardas221          Pavarde221         5         3         6         4         8         9
           Vardas222          Pavarde222         6        10         9         8         3         5
           Vardas223          Pavarde223         4         5         5         3         7         8
           Vardas224          Pavarde224         8         5        10         9         3         2
           Vardas225          Pavarde225         2         7         9         3         1         2
           Vardas226          Pavarde226         7         2         2         2         3         5
           Vardas227          Pavarde227        10         5         3         1         9         3
           Vardas228          Pavarde228         1         8         1         4         3         8
           Vardas229          Pavarde229         3         8        10         9        10         5
           Vardas230          Pavarde230         5         3         4         2        10         5
           Vardas231          Pavarde231         9         8         8         8         6         1
           Vardas232          Pavarde232        10         6         5         9         2         9
           Vardas233          Pavarde233        10         6         5         5         4         5
           Vardas234          Pavarde234         1         1         9         2         6        10
           Vardas235          Pavarde235         3         4         1         9         8         1
           Vardas236          Pavarde236         3        10         6        10         3         8
           Vardas237          Pavarde237         5         5         7         4         4         9
           Vardas238          Pavarde238         9         3         8         9         5         3
           Vardas239          Pavarde239         5         1         2         5         3         5
           Vardas240          Pavarde240         3         9        10         4         5         7
           Vardas241          Pavarde241         1         3         2         2         2         6
           Vardas242          Pavarde242         5         7         3         8         8         9
           Vardas243          Pavarde243         7         4         2         2         6        10
           Vardas244          Pavarde244         2         4         1         9        10         8
           Vardas245          Pavarde245         8         5         9         2         3         5
           Vardas246          Pavarde246         6         2         6         1         1         4
           Vardas247          Pavarde247         4         9         5         4         4         9
           Vardas248          Pavarde248         6         8         3         5         7         8
           Vardas249          Pavarde249         3         3         9         8         3        10
           Vardas250          Pavarde250         1         1         5         7        10         6
           Vardas251          Pavarde251         8         3         9         1         7         1
           Vardas252          Pavarde252         6         8         3         6         3        10
           Vardas253          Pavarde253         7         8        10         7         6        10
           Vardas254          Pavarde254         4         8         5         3         7         9
           Vardas255          Pavarde255        10        10         4         8         8        10
           Vardas256          Pavarde256         9         2         1        10         6         4
           Vardas257          Pavarde257        10         7         5         9         7         4
           Vardas258          Pavarde258         8         3         5         8         9         4
           Vardas259          Pavarde259         3         8         5         7         1         3
           Vardas260          Pavarde260         4         3         2         1         7         2
           Vardas261          Pavarde261         7         3        10         7         9         4
           Vardas262          Pavarde262        10        10         9         5         6         6
           Vardas263          Pavarde263         8        10         7         7         4        10
           Vardas264          Pavarde264         1         8         6        10         5         9
           Vardas265          Pavarde265         3         3         1         9         2         6
           Vardas266          Pavarde266         2         9         7         2         3         8
           Vardas267          Pavarde267        10         7         6         2         3         6
           Vardas268          Pavarde268         4         1         8         2         3        10
           Vardas269          Pavarde269         5         5         5         9        10         5
           Vardas270          Pavarde270        10         8         4         4         1         2
           Vardas271          Pavarde271         4         5        10         9         5         7
           Vardas272          Pavarde272         6         4         3         6         8        10
           Vardas273          Pavarde273         3         4         9         2         3         4
           Vardas274          Pavarde274         7        10         5         4         3         2
           Vardas275          Pavarde275         5         3         6         5        10         4
           Vardas276          Pavarde276         6         1         1        10         7         5
           Vardas277          Pavarde277         8         1         5        10         1        10
           Vardas278          Pavarde278        10         8         4         2         7         3
           Vardas279          Pavarde279         2         1         1         6         8         2
           Vardas280          Pavarde280         4         9         9         5         6         8
           Vardas281          Pavarde281         5         8         2         4         4         3
           Vardas282          Pavarde282         2         5        10         4         3         6
           Vardas283          Pavarde283         9         3         3         7         7         6
           Vardas284          Pavarde284         3         1         2         6         8         5
           Vardas285          Pavarde285         1         5         5        10         2        10
           Vardas286          Pavarde286         1         6         7         4        10        10
           Vardas287          Pavarde287         2         3         6         4         8         1
           Vardas288          Pavarde288         3         6         6         2         1         5
           Vardas289          Pavarde289         8         6        10        10         2         1
           Vardas290          Pavarde290        10         8         8        10         2         1
           Vardas291          Pavarde291         9         1         2         1         4         5
           Vardas292          Pavarde292         3         7         6         6         3         6
           Vardas293          Pavarde293         2        10         9         6         7         9
           Vardas294          Pavarde294         6         1         8         1         4         1
           Vardas295          Pavarde295         2        10         2         7        10        10
           Vardas296          Pavarde296        10         6         3        10         7         3
           Vardas297          Pavarde297         3        10         8         4         2         8
           Vardas298          Pavarde298         6         8         6         7        10         5
           Vardas299          Pavarde299         8         2         7         2         9        10
           Vardas300          Pavarde300         8         8        10         5        10         3
           Vardas301          Pavarde301         7         7         9         1         1         9
           Vardas302          Pavarde302         3         8        10         4         6         1
           Vardas303          Pavarde303         8         3         2         7         3         6
           Vardas304          Pavarde304         9         7        10         6         5         3
           Vardas305          Pavarde305         7         5         2         7         7         8
           Vardas306          Pavarde306        10         4         7         9        10         8
           Vardas307          Pavarde307         4         8         1         1         7         8
           Vardas308          Pavarde308         3         3         3         6         4         8
           Vardas309          Pavarde309         2         2         6         5         4         4
           Vardas310          Pavarde310         2         4        10         5         9         7
           Vardas311          Pavarde311         1         5        10         3         6         3
           Vardas312          Pavarde312         3         2         9         6         5         9
           Vardas313          Pavarde313         3         6        10         7         7         9
           Vardas314          Pavarde314        10        10         6         8         1         8
           Vardas315          Pavarde315         8         9         9         7         3         3
           Vardas316          Pavarde316         4         9         1         5         2         3
           Vardas317          Pavarde317         6         7         2         2         9         1
           Vardas318          Pavarde318         4         1         9         7         2         4
           Vardas319          Pavarde319         5         6         9         8         1         2
           Vardas320          Pavarde320         7         9        10         8         8         8
           Vardas321          Pavarde321        10         7         4         3         2         1
           Vardas322          Pavarde322         7        10         2         8         8         1
           Vardas323          Pavarde323         3        10         4         5         1        10
           Vardas324          Pavarde324         6         1         7         5         3         5
           Vardas325          Pavarde325         5         9         1         9         6         9
           Vardas326          Pavarde326         2         5         3         3         6         6
           Vardas327          Pavarde327         1         5         2        10        10         2
           Vardas328          Pavarde328         2         4         5         8         1         1
           Vardas329          Pavarde329         3         4         5        10         4         8
           Vardas330          Pavarde330         5         6         8         6         9         1
           Vardas331          Pavarde331         1         6         8        10         2         4
           Vardas332          Pavarde332        10         8         9         9         5         7
           Vardas333          Pavarde333         2         5         5         6         6         5
           Vardas334          Pavarde334         5         6         2         8         9         7
           Vardas335          Pavarde335         1         2         2         3         9         1
           Vardas336          Pavarde336         9         1         8         6         4         3
           Vardas337          Pavarde337         6         7         3         8         9         7
           Vardas338          Pavarde338        10         5         7         4         5        10
           Vardas339          Pavarde339         9         5         4         4         3         9
           Vardas340          Pavarde340         1         3         5         4         5         5
           Vardas341          Pavarde341         9         6         1         6         3         1
           Vardas342          Pavarde342         1         9         6        10         6        10
           Vardas343          Pavarde343         7         6         7         1         9         3
           Vardas344          Pavarde344         1         7         8         1         2         9
           Vardas345          Pavarde345         7         5         2         5         1         2
           Vardas346          Pavarde346         1        10         3         1         8         4
           Vardas347          Pavarde347         2         9         1        10        10         9
           Vardas348          Pavarde348         1         8        10         4         5         3
           Vardas349          Pavarde349         1         5         1         8         5         9
           Vardas350          Pavarde350         3         4         4         6        10         9
           Vardas351          Pavarde351         9         9         8         2         2         8
           Vardas352          Pavarde352         5         5         2         2         8        10
           Vardas353          Pavarde353         9         3         6         3         2         6
           Vardas354          Pavarde354         8         8         9         4         2         9
           Vardas355          Pavarde355         6         6         8         5         8         8
           Vardas356          Pavarde356         2         1         7         3         2         9
           Vardas357          Pavarde357         4        10        10         1         7         3
           Vardas358          Pavarde358         6         9         7         7         8         4
           Vardas359          Pavarde359         1         6         7         4         7         1
           Vardas360          Pavarde360         3         6         9         3         8         8
           Vardas361          Pavarde361         4         7        10         7         2         3
           Vardas362          Pavarde362         3         8         1         8         3         6
           Vardas363          Pavarde363         7         3         6         9         5         5
           Vardas364          Pavarde364        10         7         8         6         9         2
           Vardas365          Pavarde365         3         2         2         4         3         2
           Vardas366          Pavarde366         3         4         7         3         5         3
           Vardas367          Pavarde367         9         6         3         7         2         4
           Vardas368          Pavarde368         8         2         8         2         2         4
           Vardas369          Pavarde369        10         9         3         4         5         5
           Vardas370          Pavarde370         8         4         5         4         1         6
           Vardas371          Pavarde371         9         9         5         7         3         4
           Vardas372          Pavarde372         6        10         4         5         6         5
           Vardas373          Pavarde373         6         6         3         4         6         2
           Vardas374          Pavarde374         4         2         4         1         3         6
           Vardas375          Pavarde375         8         2         1        10         1         2
           Vardas376          Pavarde376         4         4         3         1         1         3
           Vardas377          Pavarde377         9         5         2         8         9         3
           Vardas378          Pavarde378         8         9         9         3         7         3
           Vardas379          Pavarde379         2         6         7         7         6         7
           Vardas380          Pavarde380         7         6         6         7         6         6
           Vardas381          Pavarde381         6         6         7         3         2        10
           Vardas382          Pavarde382         5         4         7         6         1         2
           Vardas383          Pavarde383         4         8         6         1         9         8
           Vardas384          Pavarde384         6         8         5         2         9         8
           Vardas385          Pavarde385         9         4         9        10         1        10
           Vardas386          Pavarde386         9         8         6         8         7        10
           Vardas387          Pavarde387        10         3         2        10         6         9
           Vardas388          Pavarde388         3         6         8         9         6         5
           Vardas389          Pavarde389         8         6        10         4         8         7
           Vardas390          Pavarde390         4         4         5        10         1         3
           Vardas391          Pavarde391         5         6         9         6         6         3
           Vardas392          Pavarde392         2         3         6         9         7         8
           Vardas393          Pavarde393         7         2         7         7         5         5
           Vardas394          Pavarde394         5         7         9         9         9        10
           Vardas395          Pavarde395        10         4        10         7         9         9
           Vardas396          Pavarde396         8         8         7         6         1         6
           Vardas397          Pavarde397         7         5         8         5         2         3
           Vardas398          Pavarde398         9         8         3         8         9         5
           Vardas399          Pavarde399        10         4         1         4         6         9
           Vardas400          Pavarde400         6         9        10         9         5         2
           Vardas401          Pavarde401         2         1         6         1         4         9
           Vardas402          Pavarde402        10        10         2         4         6         7
           Vardas403          Pavarde403         3         3         8         5        10         2
           Vardas404          Pavarde404         2         1         7         2         1         4
           Vardas405          Pavarde405         7         4         6         2         7         3
           Vardas406          Pavarde406        10         5         7         9         3         2
           Vardas407          Pavarde407        10         5         6         4         5         8
           Vardas408          Pavarde408         5         2         9         2         9         5
           Vardas409          Pavarde409         7        10         5         7         7         9
           Vardas410          Pavarde410         1         9         2         2         2         3
           Vardas411          Pavarde411         6         1        10        10         8         3
           Vardas412          Pavarde412         1        10         1         8         1         2
           Vardas413          Pavarde413         5         8         8         2         2         6
           Vardas414          Pavarde414         9         5         5         9         7         2
           Vardas415          Pavarde415         1         6        10         5         1         1
           Vardas416          Pavarde416         6         1         9         5         1         4
           Vardas417          Pavarde417         1         4        10         1         4         3
           Vardas418          Pavarde418         1         7         6         2         5         4
           Vardas419          Pavarde419        10         3        10         9         4         8
           Vardas420          Pavarde420         7         5         5         8         6         3
           Vardas421          Pavarde421         6        10         1         6         7         1
           Vardas422          Pavarde422        10         5         7         1         4         9
           Vardas423          Pavarde423        10         9         4         9        10         3
           Vardas424          Pavarde424         3         9         6         9         4         6
           Vardas425          Pavarde425         6         8         9         4         7         4
           Vardas426          Pavarde426         5         6         9         1         7         7
           Vardas427          Pavarde427         4         7         3         9        10         7
           Vardas428          Pavarde428         6         9         5         1        10         3
           Vardas429          Pavarde429         1         7         3         2         6         5
           Vardas430          Pavarde430        10         3         7         7         1         5
           Vardas431          Pavarde431         3         2         1         6         3         1
           Vardas432          Pavarde432         7         6         6         8         7         2
           Vardas433          Pavarde433         3         2         5         7         5         7
           Vardas434          Pavarde434         7         3         1        10        10         1
           Vardas435          Pavarde435         3        10         5         3         4         8
           Vardas436          Pavarde436         4         9         3         6         1         5
           Vardas437          Pavarde437         8         3         8         4         2         4
           Vardas438          Pavarde438         9         1         4         1         2         9
           Vardas439          Pavarde439         9         6         4         1         8        10
           Vardas440          Pavarde440         5         6         4         5        10         5
           Vardas441          Pavarde441         5         8         8         9         4         7
           Vardas442          Pavarde442         9         6         9         6        10         6
           Vardas443          Pavarde443         8         6         8         1         9         6
           Vardas444          Pavarde444         5         2         1         1         1         2
           Vardas445          Pavarde445         5        10         1         5        10         8
           Vardas446          Pavarde446         4         5         8         1         2         1
           Vardas447          Pavarde447         8        10         1        10         5         3
           Vardas448          Pavarde448         9         4         1         2         4         1
           Vardas449          Pavarde449         1         7         1         1         5         6
           Vardas450          Pavarde450         1         5         9         5        10        10
           Vardas451          Pavarde451         6         7         6         8         3         3
           Vardas452          Pavarde452         6         5         7         7         2        10
           Vardas453          Pavarde453         4         7         6         5         3         2
           Vardas454          Pavarde454         1        10         8         7         7         4
           Vardas455          Pavarde455         9         7         1         5         8         7
           Vardas456          Pavarde456         4         4         2         6        10         1
           Vardas457          Pavarde457         1         6         8         4         5         7
           Vardas458          Pavarde458         8         3         9        10         3         8
           Vardas459          Pavarde459         1        10         2        10         5         6
           Vardas460          Pavarde460         8         5         4        10         9         4
           Vardas461          Pavarde461         1         4         7         9        10         7
           Vardas462          Pavarde462         9         4         4         4         2         2
           Vardas463          Pavarde463         5         1         2         4         6         6
           Vardas464          Pavarde464        10         5         6        10         3         7
           Vardas465          Pavarde465         6         3         4         1         3         6
           Vardas466          Pavarde466         4         9         7         6        10         3
           Vardas467          Pavarde467         4         3         8         1         2        10
           Vardas468          Pavarde468         1         3         6         7         7         9
           Vardas469          Pavarde469         7         6         5         2         9         2
           Vardas470          Pavarde470        10         1        10         7         2         6
           Vardas471          Pavarde471         8         5         6         8         3         2
           Vardas472          Pavarde472         7        10         4         7         6         3
           Vardas473          Pavarde473         9         6        10         5         1         3
           Vardas474          Pavarde474         8         2         2         5         4         7
           Vardas475          Pavarde475        10         6         8         7         6         9
           Vardas476          Pavarde476         2         9         4        10         9         6
           Vardas477          Pavarde477         3         9         9         6         3         5
           Vardas478          Pavarde478        10         6         1         8         1        10
           Vardas479          Pavarde479         5         4         8         4         9         6
           Vardas480          Pavarde480         1         6         3        10         8         1
           Vardas481          Pavarde481         6         3         5         1         5         6
           Vardas482          Pavarde482         6         9         7         3         7         7
           Vardas483          Pavarde483         9         4         4         5         8         2
           Vardas484          Pavarde484        10         7        10         6         9         4
           Vardas485          Pavarde485         9         9        10         1         8         5
           Vardas486          Pavarde486         9         9         1         9         6         8
           Vardas487          Pavarde487         7         7         6         9         2         7
           Vardas488          Pavarde488         6         6         8         7         1         4
           Vardas489          Pavarde489         3         4         7        10         6         6
           Vardas490          Pavarde490         7        10         3         4         5         5
           Vardas491          Pavarde491         2         4         9         8         1         1
           Vardas492          Pavarde492         1         4        10        10         5         8
           Vardas493          Pavarde493         1         9         5         6         1         6
           Vardas494          Pavarde494         2         8         4         2         7         6
           Vardas495          Pavarde495        10         9         9         7         5         3
           Vardas496          Pavarde496         2         6         6         8        10         2
           Vardas497          Pavarde497         4         9         2         8         7         2
           Vardas498          Pavarde498         2         3        10         2         8         8
           Vardas499          Pavarde499         7         1         5         9         8         1
           Vardas500          Pavarde500         1         3         4         8         9        10
           Vardas501          Pavarde501         8         4         7         1         2         6
           Vardas502          Pavarde502         4         3         4         2         9        10
           Vardas503          Pavarde503         8         9         3        10         7         1
           Vardas504          Pavarde504         6         3         3         9         1         2
           Vardas505          Pavarde505        10        10         5         1         4         2
           Vardas506          Pavarde506         9         5         3         8         3         7
           Vardas507          Pavarde507         6         9         8         3         1         3
           Vardas508          Pavarde508        10         7         1        10         2         5
           Vardas509          Pavarde509        10         5         1        10         1         1
           Vardas510          Pavarde510         9         1         9         4         9         3
           Vardas511          Pavarde511         8         3         9         1         6         8
           Vardas512          Pavarde512         8         9         5         6         9         5
           Vardas513          Pavarde513         2        10         6        10         9         8
           Vardas514          Pavarde514         8         5         4         1         8         1
           Vardas515          Pavarde515         4         7        10         8        10         5
           Vardas516          Pavarde516         8         6         1         7         7         8
           Vardas517          Pavarde517         8         7         4        10         7         9
           Vardas518          Pavarde518         9         7         8         9         6         8
           Vardas519          Pavarde519        10         7        10        10         8         3
           Vardas520          Pavarde520         9         4         5         7         1         7
           Vardas521          Pavarde521         4         4         9         5         9         2
           Vardas522          Pavarde522         7         3         5         9         3         5
           Vardas523          Pavarde523         3         7         5         7         5         7
           Vardas524          Pavarde524        10         5        10         1         3         9
           Vardas525          Pavarde525         6         6        10         6         9         3
           Vardas526          Pavarde526         5         2         5         2        10         4
           Vardas527          Pavarde527         2         4         9         9         8         5
           Vardas528          Pavarde528         3         3         2         7         1         1
           Vardas529          Pavarde529         8         7         7         1        10         2
           Vardas530          Pavarde530         8         7         4         3         2         3
           Vardas531          Pavarde531         3         1         4         2         2        10
           Vardas532          Pavarde532         9         1         4         8         4         5
           Vardas533          Pavarde533         7         8        10         9         3         4
           Vardas534          Pavarde534         7         8         5         4         3         3
           Vardas535          Pavarde535         2         4         6         9         9         5
